Team,Map,Wins,Played,Winrate
Nongshim RedForce,Sunset,0,1,0.0
Nova Esports,Sunset,0,1,0.0
Paper Rex,Sunset,7,9,77.78
Rex Regum Qeon,Sunset,4,7,57.14
Sentinels,Sunset,7,12,58.33
T1,Sunset,5,7,71.43
TALON,Sunset,0,3,0.0
Team Heretics,Sunset,4,6,66.67
Team Liquid,Sunset,4,9,44.44
Team Secret,Sunset,1,2,50.0
Team Vitality,Sunset,2,4,50.0
Titan Esports Club,Sunset,1,3,33.33
Trace Esports,Sunset,1,6,16.67
Wolves Esports,Sunset,1,2,50.0
Xi Lai Gaming,Sunset,2,6,33.33
ZETA DIVISION,Sunset,1,2,50.0
